name;type(h/v);size;is occupied;offset;cost
bathroomCabinet;h;1,2,1;1;1.575,0.975,0.725;90
bathroomCabinetDrawer;h;2,2,2;1;1.075,1.470605,1.45;180
bathroomMirror;h;2,2,1;1;0.75335,1.086563,-0.117;70
bathroomSink;h;2,3,1;1;0.85,-0.6,0.725;150
bathroomSinkSquare;h;2,3,2;1;1.075,1.73404,1.5;200
bathtub;h;6,2,3;1;2.975,1.05,1.4;400
shower;h;6,12,7;1;-3.200001,6.231678,3.086079;650
showerRound;h;3,5,3;1;1.40448,2.735082,1.40448;350
toiletSquare;h;2,2,2;1;0.75905,1.127413,0.9679418;180
toilet;h;3,5,5;1;1.645,2.3735,-2.511458;300
