name;type(h/v);size;is occupied;offset;cost
bedBunk;h;3,4,5;1;1.4275,2.125,2.7375;420
bedDouble;h;5,2,6;1;2.39,0.9375,2.8125;500
bedSingle;h;3,2,6;1;3.3525,0.9375,2.8125;300
bookcaseClosed;h;2,4,1;1;1,2.125,0.625;180
bookcaseClosedDoors;h;2,4,1;1;1,2.125,0.625;220
bookcaseClosedWide;h;4,4,1;1;2,1.975,0.625;280
bookcaseOpen;h;2,4,1;1;1,2.2,0.625;160
bookcaseOpenLow;h;2,2,1;1;1,1,0.625;120
books;h;1,1,0;1;0.376119,0.2597558,0.23625;25
cabinetBed;h;1,1,1;1;0.615,0.583,0.4875;90
cabinetBedDrawer;h;1,1,1;1;0.615,0.658,0.48175;100
cabinetBedDrawerTable;h;1,1,1;1;0.615,0.658,0.48175;120
cabinetTelevision;h;4,2,1;1;2,0.775,0.625;200
cabinetTelevisionDoors;h;4,2,1;1;2,0.775,0.6;220
Capsule;h;3,3,2;1;0.06129408,1.490901,0.06533825;350
chair;h;1,2,1;1;0.5,1.175,0.5;60
chairCushion;h;1,2,1;1;0.5,1.15,0.5;75
chairDesk;h;2,3,2;1;0.837375,1.519,0.7857475;150
chairModernCushion;h;1,2,1;1;0.5,1.15,0.5;90
chairModernFrameCushion;h;1,2,1;1;0.5,1.15,0.5;110
chairRounded;h;1,2,1;1;0.5,1.1375,0.5;80
coatRackStanding;h;1,4,1;1;0,1.925,0;70
computerKeyboard;h;1,0,1;1;0.7055,0.06889,0.29548;30
computerMouse;h;0,0,0;1;0,0.05893,0.2127595;15
computerScreen;h;2,1,1;1;0.98172,0.735713,0.26001;180
desk 1;h;4,2,2;1;1.786188,0.9610187,0.91925;280
deskCorner;h;5,2,5;1;2.436189,0.9610187,2.436189;420
lamp;h;2,4,2;1;0,1.859385,0.1898665;130
lampRoundFloor;h;1,4,1;1;0.3,2.15,0.3;110
lampRoundTable;h;1,2,1;1;0.3,0.785625,0.3;65
lampSquareCeiling;h;1,1,1;1;0.3,0.575,0.3;60
lampSquareFloor;h;1,4,1;1;0.3,2.15,0.3;100
lampSquareTable;h;1,1,1;1;0.3,0.725,0.3;55
lampWall;h;2,1,1;1;0,0.4,-0.648;75
plantSmall1;h;1,1,1;1;0,0.7,0;30
plantSmall2;h;1,1,1;1;0,0.7,0;30
plantSmall3;h;1,1,1;1;0,0.725,0;30
pottedPlant;h;1,2,1;1;2.980232E-08,0.817521,-8.940697E-08;60
radio;h;2,1,0;1;0.7875,0.5704777,0.24375;80
rugRectangle;h;3,0,2;1;1.57,0.009999999,0.92;90
rugRound;h;5,0,5;1;2.3,0.025,2.3;150
rugRounded;h;3,0,2;1;1.57,0.009999999,0.92;95
rugSquare;h;5,0,5;1;2.260815,0.025,2.3;140
sideTable;h;3,2,1;1;1.286189,0.9610187,0.5;100
sideTableDrawers;h;3,2,1;1;1.286189,0.9610187,0.49425;120
speaker;h;1,3,1;1;0.37,1.591,0.37;110
speakerSmall;h;1,1,1;1;0.37,0.744949,0.333;60
televisionVintage;h;2,1,1;1;1.025,0.675,0.675;160
televisionModern;h;3,2,1;1;0,1.136875,0;300
cabinet;h;4,2,2;1;0,0.7500005,-0.360713;220
